target_id,target_type,code,w009_target_label,coverage_status,evidence_count,ementa_content_records,ficha1_records,primary_evidence_ids,formal_context_path,applicability_summary,gap_or_note
CI316,coded_component,CI316,Programação Paralela,evidencia_parcial,1,0,0,EMENTARIO-CI316-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
MN127,coded_component,MN127,"Saúde, Meio Ambiente E Sociedade",evidencia_parcial,1,0,0,EMENTARIO-MN127-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI167,coded_component,CI167,Sistemas De Informação Em Saúde,evidencia_parcial,1,0,0,EMENTARIO-CI167-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI209,coded_component,CI209,Inteligencia Artificial,evidencia_parcial,1,0,0,EMENTARIO-CI209-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI218,coded_component,CI218,Sistemas De Bancos De Dados,evidencia_parcial,1,0,0,EMENTARIO-CI218-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI394,coded_component,CI394,Processamento De Imagens,evidencia_parcial,1,0,0,EMENTARIO-CI394-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
MN128,coded_component,MN128,Organização Do Sistema De Saúde Brasileiro,evidencia_parcial,1,0,0,EMENTARIO-MN128-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI220,coded_component,CI220,Teoria De Sistemas,evidencia_parcial,1,0,0,EMENTARIO-CI220-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI221,coded_component,CI221,Engenharia De Software,evidencia_parcial,1,0,0,EMENTARIO-CI221-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI169,coded_component,CI169,Bioinformática,evidencia_parcial,1,0,0,EMENTARIO-CI169-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI172,coded_component,CI172,Processamento De Imagnes Biomédicas,evidencia_parcial,1,0,0,EMENTARIO-CI172-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
MN129,coded_component,MN129,Metodologia Da Pesquisa E Bioética Em Saúde,evidencia_parcial,1,0,0,EMENTARIO-MN129-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI262,coded_component,CI262,Trabalho De Conclusão De Curso Em Informática,evidencia_parcial,1,0,0,EMENTARIO-CI262-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
OPT-07-01,elective_space,,Disciplina optativa,nenhuma_evidencia_preservada_suficiente,0,0,0,,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,"The 2010 act proves an elective space, not a selected coded component or a component-level ementa/Ficha 1.",No selected elective component or corresponding ementa/Ficha 1 is identified.
OPT-08-01,elective_space,,Disciplina optativa,nenhuma_evidencia_preservada_suficiente,0,0,0,,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,"The 2010 act proves an elective space, not a selected coded component or a component-level ementa/Ficha 1.",No selected elective component or corresponding ementa/Ficha 1 is identified.
OPT-08-02,elective_space,,Disciplina optativa,nenhuma_evidencia_preservada_suficiente,0,0,0,,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,"The 2010 act proves an elective space, not a selected coded component or a component-level ementa/Ficha 1.",No selected elective component or corresponding ementa/Ficha 1 is identified.
OPT-08-03,elective_space,,Disciplina optativa,nenhuma_evidencia_preservada_suficiente,0,0,0,,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,"The 2010 act proves an elective space, not a selected coded component or a component-level ementa/Ficha 1.",No selected elective component or corresponding ementa/Ficha 1 is identified.
