code,title,recommended_period,nature,total_hours,department_evidence,ficha1_status,ficha1_path,ficha1_sha256,applicability_2023,ficha2_status,evidence_status,gaps_or_conflicts,formal_basis
CM311,Cálculo 1,2,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
BC056,Fundamentos de Biologia Celular e Tecidual,3,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
BQ083,Biologia Molecular e Bioinformática,3,obrigatória,60,Departamento de Bioquímica e Biologia Molecular via Resolução 76/22,localizada,curriculos/2023/fichas/outros-departamentos/BQ083-ficha-1.pdf,65c7e762dd3e2587bee40187a0fdb690d60fd9f085b737b566b2439e95af5109,indeterminado,não localizado,criação 2022 comprovada,Ficha assinada em 2022-04-05 e renderizada em 2022-06-09; nenhum ato de aplicabilidade à matriz 2023 localizado,Resoluções 75/22 e 76/22-CEPE
CI1002,Programação 2,3,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1002/ficha-1.pdf,166c5dcb4b46c9a999308d4907559c3bd4697f79315800de887b660abe80412a,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1057,Algoritmos e Estruturas de Dados 3,3,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1057/ficha-1.pdf,c320e876f8476b9e3886e333b0504fdfea46f2bff3c5c00044d7232a75736dd5,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1212,Arquitetura de Computadores,3,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1212/ficha-1.pdf,cca92429315225a76dfb47799ffe906036bbe191118491dfa8105b1d97fc59d1,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2019; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CM303,Introdução à Geometria Analítica e Álgebra Linear,3,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
BF114,Fisiologia para Informática Biomédica,4,obrigatória,60,Departamento de Fisiologia via Resolução 78/22,localizada,curriculos/2023/fichas/outros-departamentos/BF114-ficha-1.pdf,405e9838e92b73ca318b66a9c5d47a7aed8e382bb64ee6d5b340bb3110e2300f,indeterminado,não localizado,criação 2022 comprovada,Ficha publicada em 2024 sem validade estabelecida; aplicabilidade não estabelecida,Resoluções 75/22 e 78/22-CEPE
BG079,Genética e Evolução para Informática Biomédica,4,obrigatória,60,Departamento de Genética via Resolução 79/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada,Resoluções 75/22 e 79/22-CEPE
CI1054,Algoritmos em Grafos e Otimização,4,obrigatória,60,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada,Resoluções 75/22 e 80/22-CEPE
CI1062,Paradigmas de Programação,4,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1062/ficha-1.pdf,b2cd36af20053f8350e540438b4c4b2a3858a0aa3d0433b12fe0743a463201da,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1101,Estágio Supervisionado em Informática Biomédica,4,estágio obrigatório,220,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada; regulamento no PPC Anexo III,Resoluções 75/22 e 80/22-CEPE
CI1350,Interação Humano-Computador,4,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1350/ficha-1.pdf,dcb36c82f988408238c203f4545d1832354f3622a1ffacfddc4092a86ad188ae,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
MN163,Sistema de Informação em Saúde,4,obrigatória,60,Departamento de Enfermagem via Resolução 77/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada,Resoluções 75/22 e 77/22-CEPE
CE009,Introdução à Estatística,5,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
CI1162,Engenharia de Requisitos,5,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1162/ficha-1.pdf,b2ede35e45a0fe2a2a9cac34947685b01a46d52eada56af16f2051517cccac07,indeterminado,não localizado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1172,Processamento de Imagens Biomédicas,5,obrigatória,60,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada,Resoluções 75/22 e 80/22-CEPE
CI1215,Sistemas Operacionais,5,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1215/ficha-1.pdf,1de3538f19829396f8c7a99cd8af298d33afbc0b7ce2148dfafda13298f91e93,indeterminado,indeterminado,versão pré-reforma localizada,Data de assinatura não extraída; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1244,Redes de Computadores,5,obrigatória,60,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada,Resoluções 75/22 e 80/22-CEPE
MN129,Metodologia da Pesquisa e Bioética em Saúde,5,obrigatória,60,não localizado,não localizado,,,indeterminado,localizada 2022.1,estrutura comprovada,Ficha 2 2022.1 é anterior à matriz; Ficha 1 não localizada,Resolução 75/22-CEPE Anexo I
CI1163,Design de Software,6,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1163/ficha-1.pdf,526de17265f23645e0c5f7acb2bb797181746d1a7fb322261cc722e8aef3d482,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1171,Aprendizado de Máquina,6,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1171/ficha-1.pdf,11aebfd7d749eeeeb29f9cecd5fb220b759fd874c32f74eeb08ed46f0706bd45,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2019; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1209,Inteligência Artificial,6,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1209/ficha-1.pdf,3934fbf683f4fca4a63bc2522174122844f72cc8e4533eb350d6313810bf531f,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2019; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1218,Banco de Dados,6,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1218/ficha-1.pdf,85154d13ab06357b3cb1071dc6d4c45730151c0f81a0afb5b7eebc90197e7358,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1316,Programação Paralela,6,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1316/ficha-1.pdf,cabf4d62a7024ac5f740a781044b0d1a3e320754ba771eea54ea5d48ffe8ef69,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1007,Segurança Computacional,7,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1007/ficha-1.pdf,8aa057ad98da9cee72cd52308cf00b2dabc2e05c2c2657a255c3e174e105c4c3,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1131,Trabalho de Conclusão de Curso 1 em Informática Biomédica - extensionista,7,TCC alternativa,160,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada; regulamento no PPC Anexo IV,Resoluções 75/22 e 80/22-CEPE
CI1133,Trabalho de Conclusão de Curso 1 em Informática Biomédica,7,TCC alternativa,160,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada; regulamento no PPC Anexo IV,Resoluções 75/22 e 80/22-CEPE
CI1169,Bioinformática,7,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
CI1221,Engenharia de Software,7,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1221/ficha-1.pdf,797917a917bdf10065b00957885b806408847df727053030fae0e4277fc7d86f,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1005,Qualidade de Software,8,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1005/ficha-1.pdf,935422a55c7fe7098ea65530797d554f49b2ebe7fff09518da78fe8858a55aae,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1132,Trabalho de Conclusão de Curso 2 em Informática Biomédica - extensionista,8,TCC alternativa,160,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada; regulamento no PPC Anexo IV,Resoluções 75/22 e 80/22-CEPE
CI1134,Trabalho de Conclusão de Curso 2 em Informática Biomédica,8,TCC alternativa,160,DInf via Resolução 80/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada; regulamento no PPC Anexo IV,Resoluções 75/22 e 80/22-CEPE
