gap_id,gap_type,origin_path,origin_id,target,status,recorded_result,gate_consequence,accessed_at,domains_or_custodian,original_record
curriculos/2023/inventario/buscas-negativas.csv:N01,public_documentary,curriculos/2023/inventario/buscas-negativas.csv,N01,CI1054|CI1101|CI1172|CI1244|CI1131|CI1132|CI1133|CI1134,recorded search; see original result and limits,Índice DInf preservado não lista Fichas destes códigos,,2026-09-04,web.inf.ufpr.br/dinf,"{""accessed_at"": ""2026-09-04"", ""affected_targets"": ""CI1054|CI1101|CI1172|CI1244|CI1131|CI1132|CI1133|CI1134"", ""limits"": ""A página atual é índice departamental e não prova inexistência"", ""official_domains"": ""web.inf.ufpr.br/dinf"", ""result"": ""Índice DInf preservado não lista Fichas destes códigos"", ""search_id"": ""N01"", ""terms"": ""CI1054 CI1101 CI1172 CI1244 CI1131 CI1132 CI1133 CI1134 ficha 1 ficha 2""}"
curriculos/2023/inventario/buscas-negativas.csv:N02,public_documentary,curriculos/2023/inventario/buscas-negativas.csv,N02,todos os 43,recorded search; see original result and limits,"Resposta HTML preservada identifica ""Informática Biomédica - 2011 - Corrente"" e total de 3000h; não fornece representação utilizável da matriz 2023",,2026-09-04,ementario.ufpr.br,"{""accessed_at"": ""2026-09-04"", ""affected_targets"": ""todos os 43"", ""limits"": ""A resposta do portal pode ser arquivada/desatualizada e não prova inexistência de registro 2023"", ""official_domains"": ""ementario.ufpr.br"", ""result"": ""Resposta HTML preservada identifica \""Informática Biomédica - 2011 - Corrente\"" e total de 3000h; não fornece representação utilizável da matriz 2023"", ""search_id"": ""N02"", ""terms"": ""currículo 96A Informática Biomédica; currículo.action?v=1225""}"
curriculos/2023/inventario/buscas-negativas.csv:N03,public_documentary,curriculos/2023/inventario/buscas-negativas.csv,N03,BA040|CM310|CM304|CM311|BC056|CE009,recorded search; see original result and limits,Nenhuma Ficha 1 específica da matriz 2023 preservada na coleta inicial,,2026-09-04,ufpr.br,"{""accessed_at"": ""2026-09-04"", ""affected_targets"": ""BA040|CM310|CM304|CM311|BC056|CE009"", ""limits"": ""Busca pública limitada; departamentos podem manter fonte não indexada"", ""official_domains"": ""ufpr.br"", ""result"": ""Nenhuma Ficha 1 específica da matriz 2023 preservada na coleta inicial"", ""search_id"": ""N03"", ""terms"": ""BA040 CM310 CM304 CM311 BC056 CE009 ficha 1 Informática Biomédica""}"
curriculos/2023/inventario/buscas-negativas.csv:N04,public_documentary,curriculos/2023/inventario/buscas-negativas.csv,N04,todos os 43,recorded search; see original result and limits,Apenas MN129 2022.1 foi localizada fora do DInf; Fichas 2 DInf preservadas não têm período/turma identificado de modo inequívoco,,2026-09-04,ufpr.br,"{""accessed_at"": ""2026-09-04"", ""affected_targets"": ""todos os 43"", ""limits"": ""Não converter ausência pública em inexistência"", ""official_domains"": ""ufpr.br"", ""result"": ""Apenas MN129 2022.1 foi localizada fora do DInf; Fichas 2 DInf preservadas não têm período/turma identificado de modo inequívoco"", ""search_id"": ""N04"", ""terms"": ""Ficha 2 2023 2024 2025 2026 Informática Biomédica""}"
administracao/historico/buscas-negativas.csv:HN001,public_documentary,administracao/historico/buscas-negativas.csv,HN001,Original authorization act Resolução 19/10-COUN,recorded search; see original result and limits,The underlying resolution PDF/text was not located; the official Ementário registry was preserved and names the act.,,2026-09-04,soc.ufpr.br; ufpr.br; ementario.ufpr.br,"{""access_date"": ""2026-09-04"", ""id"": ""HN001"", ""limits"": ""Older COUN material may be unindexed or relocated; not located does not mean not issued."", ""official_domains_and_systems"": ""soc.ufpr.br; ufpr.br; ementario.ufpr.br"", ""queries_or_terms"": ""\\Resolução 19/10-COUN\\\""; \\\""Resolução nº 19/10-COUN\\\""; \\\""Informática Biomédica\\\"" criação\"""", ""result"": ""The underlying resolution PDF/text was not located; the official Ementário registry was preserved and names the act."", ""target"": ""Original authorization act Resolução 19/10-COUN""}"
administracao/historico/buscas-negativas.csv:HN002,public_documentary,administracao/historico/buscas-negativas.csv,HN002,Original recognition text Portaria 44/2015,recorded search; see original result and limits,The underlying DOU/Portaria text was not located; the official Ementário registry was preserved and names the act.,,2026-09-04,in.gov.br; gov.br; ufpr.br; ementario.ufpr.br,"{""access_date"": ""2026-09-04"", ""id"": ""HN002"", ""limits"": ""Search results for Portaria 44 are highly ambiguous across institutions."", ""official_domains_and_systems"": ""in.gov.br; gov.br; ufpr.br; ementario.ufpr.br"", ""queries_or_terms"": ""\\Portaria 44\\\"" \\\""Informática Biomédica\\\""; \\\""22 de janeiro de 2015\\\"" reconhecimento\"""", ""result"": ""The underlying DOU/Portaria text was not located; the official Ementário registry was preserved and names the act."", ""target"": ""Original recognition text Portaria 44/2015""}"
administracao/historico/buscas-negativas.csv:HN003,public_documentary,administracao/historico/buscas-negativas.csv,HN003,2022 reform minutes and opinions,recorded search; see original result and limits,Superseded false-negative result: the official SOC minute was located and preserved as H009. It records a favorable opinion and unanimous approval for process 061269/2022-16.,,2026-09-04,soc.ufpr.br; sei.ufpr.br; ufpr.br; curriculos/2023 preserved sources,"{""access_date"": ""2026-09-04"", ""id"": ""HN003"", ""limits"": ""This row remains as an auditable search record rather than a negative claim. The original failure and correction path are retained append-only in governance/errors/W011.md."", ""official_domains_and_systems"": ""soc.ufpr.br; sei.ufpr.br; ufpr.br; curriculos/2023 preserved sources"", ""queries_or_terms"": ""\\Informática Biomédica\\\"" \\\""2022\\\"" CEPE ata parecer; \\\""Resolução 75/22-CEPE\\\"" parecer ata; process 061269/2022-16; \\\""Ata 1ª CEPE 02.12.2022\\\""\"""", ""result"": ""Superseded false-negative result: the official SOC minute was located and preserved as H009. It records a favorable opinion and unanimous approval for process 061269/2022-16."", ""target"": ""2022 reform minutes and opinions""}"
administracao/historico/buscas-negativas.csv:HN004,public_documentary,administracao/historico/buscas-negativas.csv,HN004,2026 internal-call result naming this proposal,recorded search; see original result and limits,No public official result identifying this proposal was located.,,2026-09-04,ufpr.br; prograd.ufpr.br; proplad.ufpr.br; soc.ufpr.br; sei.ufpr.br,"{""access_date"": ""2026-09-04"", ""id"": ""HN004"", ""limits"": ""A scheduled result is not evidence of publication; internal result may be unindexed."", ""official_domains_and_systems"": ""ufpr.br; prograd.ufpr.br; proplad.ufpr.br; soc.ufpr.br; sei.ufpr.br"", ""queries_or_terms"": ""\\Edital 01/2026\\\"" PROGRAP PROPLAD resultado; \\\""Inteligência Artificial Aplicada à Saúde\\\"" resultado; \\\""Informática Biomédica\\\"" resultado\"""", ""result"": ""No public official result identifying this proposal was located."", ""target"": ""2026 internal-call result naming this proposal""}"
administracao/historico/buscas-negativas.csv:HN005,public_documentary,administracao/historico/buscas-negativas.csv,HN005,2026 NDE Colegiado Setor PROGRAP/PROPLAD or CEPE approval,recorded search; see original result and limits,No public decision or approval act naming this proposal was located.,,2026-09-04,ufpr.br; exatas.ufpr.br; inf.ufpr.br; soc.ufpr.br; sei.ufpr.br,"{""access_date"": ""2026-09-04"", ""id"": ""HN005"", ""limits"": ""Protected/internal deliberations are outside authorized access."", ""official_domains_and_systems"": ""ufpr.br; exatas.ufpr.br; inf.ufpr.br; soc.ufpr.br; sei.ufpr.br"", ""queries_or_terms"": ""\\Inteligência Artificial Aplicada à Saúde\\\"" colegiado; NDE; setor; CEPE; aprovação\"""", ""result"": ""No public decision or approval act naming this proposal was located."", ""target"": ""2026 NDE Colegiado Setor PROGRAP/PROPLAD or CEPE approval""}"
administracao/historico/buscas-negativas.csv:HN006,public_documentary,administracao/historico/buscas-negativas.csv,HN006,2026 UFPR submission and MEC authorization/decision,recorded search; see original result and limits,No public submission receipt or MEC act specific to the proposal was located.,,2026-09-04,gov.br/mec; gov.br; ufpr.br; sei.ufpr.br,"{""access_date"": ""2026-09-04"", ""id"": ""HN006"", ""limits"": ""Program context pages do not identify a course-level authorization."", ""official_domains_and_systems"": ""gov.br/mec; gov.br; ufpr.br; sei.ufpr.br"", ""queries_or_terms"": ""\\Inteligência Artificial Aplicada à Saúde\\\"" MEC; \\\""Informática Biomédica\\\"" MEC reorganização; Universidades Transformadoras UFPR\"""", ""result"": ""No public submission receipt or MEC act specific to the proposal was located."", ""target"": ""2026 UFPR submission and MEC authorization/decision""}"
administracao/historico/buscas-negativas.csv:HN007,public_documentary,administracao/historico/buscas-negativas.csv,HN007,2026 proposed 2700-hour matrix components equivalences PPC and staffing guarantees,recorded search; see original result and limits,No public proposed matrix component list equivalence table PPC minutes or staffing-guarantee act was located.,,2026-09-04,ufpr.br; inf.ufpr.br; exatas.ufpr.br; soc.ufpr.br; sei.ufpr.br,"{""access_date"": ""2026-09-04"", ""id"": ""HN007"", ""limits"": ""The Apêndice B claim of 2700 hours and two requested posts remains proposal content, not a curriculum or staffing act."", ""official_domains_and_systems"": ""ufpr.br; inf.ufpr.br; exatas.ufpr.br; soc.ufpr.br; sei.ufpr.br"", ""queries_or_terms"": ""\\2700\\\"" \\\""Informática Biomédica\\\""; matriz; PPC; equivalências; docentes; \\\""Inteligência Artificial Aplicada à Saúde\\\""\"""", ""result"": ""No public proposed matrix component list equivalence table PPC minutes or staffing-guarantee act was located."", ""target"": ""2026 proposed 2700-hour matrix components equivalences PPC and staffing guarantees""}"
administracao/historico/buscas-negativas.csv:HN008,public_documentary,administracao/historico/buscas-negativas.csv,HN008,course-specific official Enade result,recorded search; see original result and limits,No preserved official result with a dated course-specific Enade value was located.,,2026-09-04,gov.br/inep; gov.br; e-MEC public front,"{""access_date"": ""2026-09-04"", ""id"": ""HN008"", ""limits"": ""The official UFPR registry's undated MEC concept is recorded separately and is not recast as Enade."", ""official_domains_and_systems"": ""gov.br/inep; gov.br; e-MEC public front"", ""queries_or_terms"": ""\\Informática Biomédica\\\"" UFPR Enade; CPC; conceito de curso\"""", ""result"": ""No preserved official result with a dated course-specific Enade value was located."", ""target"": ""course-specific official Enade result""}"
administracao/historico/buscas-negativas.csv:HN009,public_documentary,administracao/historico/buscas-negativas.csv,HN009,detailed public e-MEC record,recorded search; see original result and limits,The interactive e-MEC public front did not yield a preservable detailed course record during the bounded search.,,2026-09-04,emec.mec.gov.br; gov.br/mec; UFPR registry,"{""access_date"": ""2026-09-04"", ""id"": ""HN009"", ""limits"": ""Interactive controls and access behavior may prevent public capture; this is not an assertion that the e-MEC record does not exist."", ""official_domains_and_systems"": ""emec.mec.gov.br; gov.br/mec; UFPR registry"", ""queries_or_terms"": ""e-MEC Informática Biomédica UFPR; course 96A"", ""result"": ""The interactive e-MEC public front did not yield a preservable detailed course record during the bounded search."", ""target"": ""detailed public e-MEC record""}"
administracao/historico/buscas-negativas.csv:HN010,public_documentary,administracao/historico/buscas-negativas.csv,HN010,final occupancy after all admission calls,recorded search; see original result and limits,No matched-universe final occupancy result was located.,,2026-09-04,servicos.nc.ufpr.br; nc.ufpr.br; ufpr.br; observaevasao.ufpr.br,"{""access_date"": ""2026-09-04"", ""id"": ""HN010"", ""limits"": ""Candidate lists registration outcomes and nominal vacancies cannot be used as an occupancy proxy."", ""official_domains_and_systems"": ""servicos.nc.ufpr.br; nc.ufpr.br; ufpr.br; observaevasao.ufpr.br"", ""queries_or_terms"": ""\\Informática Biomédica\\\"" resultado registro acadêmico chamada; ocupação de vagas; vagas remanescentes\"""", ""result"": ""No matched-universe final occupancy result was located."", ""target"": ""final occupancy after all admission calls""}"
administracao/historico/buscas-negativas.csv:HN011,public_documentary,administracao/historico/buscas-negativas.csv,HN011,comparable cutoff scores or proposed-course demand,recorded search; see original result and limits,No comparable official series was located.,,2026-09-04,servicos.nc.ufpr.br; nc.ufpr.br; ufpr.br; gov.br/mec,"{""access_date"": ""2026-09-04"", ""id"": ""HN011"", ""limits"": ""The proposed course is not evidenced as an approved offering; cross-course or cross-process figures would require matched methods."", ""official_domains_and_systems"": ""servicos.nc.ufpr.br; nc.ufpr.br; ufpr.br; gov.br/mec"", ""queries_or_terms"": ""\\Informática Biomédica\\\"" nota de corte; \\\""Inteligência Artificial Aplicada à Saúde\\\"" nota de corte; demanda\"""", ""result"": ""No comparable official series was located."", ""target"": ""comparable cutoff scores or proposed-course demand""}"
administracao/historico/atos-originais/buscas.csv:W016-Q01,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-Q01,COUN19,recorded search; see original result and limits,No exact target original located in returned results,,2026-09-05,soc.ufpr.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""soc.ufpr.br"", ""limits"": ""Search results only; no protected repositories; no nonexistence inference"", ""result"": ""No exact target original located in returned results"", ""search_id"": ""W016-Q01"", ""target_id"": ""COUN19"", ""terms_or_url"": ""site.soc.ufpr.br \""19/10\"" \""COUN\""""}"
administracao/historico/atos-originais/buscas.csv:W016-Q02,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-Q02,P44,recorded search; see original result and limits,Located candidate institutional PDF at UNIFAP; preserved as W016-P44,,2026-09-05,Public web; institutional result www2.unifap.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""Public web; institutional result www2.unifap.br"", ""limits"": ""Result used for discovery only; identity requires preserved PDF verification"", ""result"": ""Located candidate institutional PDF at UNIFAP; preserved as W016-P44"", ""search_id"": ""W016-Q02"", ""target_id"": ""P44"", ""terms_or_url"": ""\""Portaria\"" \""44\"" \""22 de janeiro de 2015\"" \""Informática Biomédica\""""}"
administracao/historico/atos-originais/buscas.csv:W016-Q03,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-Q03,COUN19,recorded search; see original result and limits,No exact target original located,,2026-09-05,ufpr.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""ufpr.br"", ""limits"": ""UFPR domain filter; no exhaustive archive search"", ""result"": ""No exact target original located"", ""search_id"": ""W016-Q03"", ""target_id"": ""COUN19"", ""terms_or_url"": ""\""Resolução\"" \""19/10\"" \""Biomédica\""""}"
administracao/historico/atos-originais/buscas.csv:W016-Q04,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-Q04,P44,recorded search; see original result and limits,Located MEC summary lead gid=17074; not retrieved or used as evidence,,2026-09-05,in.gov.br; gov.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""in.gov.br; gov.br"", ""limits"": ""Summary is not original act; no substantive claim based on snippet"", ""result"": ""Located MEC summary lead gid=17074; not retrieved or used as evidence"", ""search_id"": ""W016-Q04"", ""target_id"": ""P44"", ""terms_or_url"": ""\""201307170\"" \""44\"" \""2015\""""}"
administracao/historico/atos-originais/buscas.csv:W016-Q05,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-Q05,COUN19,recorded search; see original result and limits,No exact target original located,,2026-09-05,ufpr.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""ufpr.br"", ""limits"": ""UFPR domain filter; public indexed results only"", ""result"": ""No exact target original located"", ""search_id"": ""W016-Q05"", ""target_id"": ""COUN19"", ""terms_or_url"": ""\""19/2010\"" \""COUN\"" \""Informática\""""}"
administracao/historico/atos-originais/buscas.csv:W016-Q06,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-Q06,COUN19,recorded search; see original result and limits,No exact target original located,,2026-09-05,soc.ufpr.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""soc.ufpr.br"", ""limits"": ""SOC domain filter; irrelevant results not used as evidence"", ""result"": ""No exact target original located"", ""search_id"": ""W016-Q06"", ""target_id"": ""COUN19"", ""terms_or_url"": ""\""19-10\"" \""COUN\""""}"
administracao/historico/atos-originais/buscas.csv:W016-Q07,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-Q07,COUN19,recorded search; see original result and limits,Search returned no results,,2026-09-05,ufpr.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""ufpr.br"", ""limits"": ""Bounded negative result; does not establish nonexistence"", ""result"": ""Search returned no results"", ""search_id"": ""W016-Q07"", ""target_id"": ""COUN19"", ""terms_or_url"": ""\""Resolução nº 19/10\"" \""COUN\""""}"
administracao/historico/atos-originais/buscas.csv:W016-R01,public_documentary,administracao/historico/atos-originais/buscas.csv,W016-R01,P44,recorded search; see original result and limits,HTTP retrieval succeeded; 41592-byte PDF preserved as W016-P44,,2026-09-05,www2.unifap.br,"{""accessed_at"": ""2026-09-05"", ""domains"": ""www2.unifap.br"", ""limits"": ""Institutional reproduction; DOU facsimile not retrieved"", ""result"": ""HTTP retrieval succeeded; 41592-byte PDF preserved as W016-P44"", ""search_id"": ""W016-R01"", ""target_id"": ""P44"", ""terms_or_url"": ""https://www2.unifap.br/cambientais/files/2023/04/191204_10152-5.pdf""}"
